item_id,taxon_name,original_feature_id,rank
item_330,Synthetic taxon 330,synthetic_species_330,species
item_331,Synthetic taxon 331,synthetic_species_331,species
item_332,Synthetic taxon 332,synthetic_species_332,species
item_333,Synthetic taxon 333,synthetic_species_333,species
item_334,Synthetic taxon 334,synthetic_species_334,species
item_335,Synthetic taxon 335,synthetic_species_335,species
item_336,Synthetic taxon 336,synthetic_species_336,species
item_337,Synthetic taxon 337,synthetic_species_337,species
item_338,Synthetic taxon 338,synthetic_species_338,species
item_339,Synthetic taxon 339,synthetic_species_339,species
item_340,Synthetic taxon 340,synthetic_species_340,species
item_341,Synthetic taxon 341,synthetic_species_341,species
item_342,Synthetic taxon 342,synthetic_species_342,species
item_343,Synthetic taxon 343,synthetic_species_343,species
item_344,Synthetic taxon 344,synthetic_species_344,species
item_345,Synthetic taxon 345,synthetic_species_345,species
item_346,Synthetic taxon 346,synthetic_species_346,species
item_347,Synthetic taxon 347,synthetic_species_347,species
item_348,Synthetic taxon 348,synthetic_species_348,species
item_349,Synthetic taxon 349,synthetic_species_349,species
item_350,Synthetic taxon 350,synthetic_species_350,species
item_351,Synthetic taxon 351,synthetic_species_351,species
item_352,Synthetic taxon 352,synthetic_species_352,species
item_353,Synthetic taxon 353,synthetic_species_353,species
item_354,Synthetic taxon 354,synthetic_species_354,species
item_355,Synthetic taxon 355,synthetic_species_355,species
item_356,Synthetic taxon 356,synthetic_species_356,species
item_357,Synthetic taxon 357,synthetic_species_357,species
item_358,Synthetic taxon 358,synthetic_species_358,species
item_359,Synthetic taxon 359,synthetic_species_359,species
item_360,Synthetic taxon 360,synthetic_species_360,species
item_361,Synthetic taxon 361,synthetic_species_361,species
item_362,Synthetic taxon 362,synthetic_species_362,species
item_363,Synthetic taxon 363,synthetic_species_363,species
item_364,Synthetic taxon 364,synthetic_species_364,species
item_365,Synthetic taxon 365,synthetic_species_365,species
item_366,Synthetic taxon 366,synthetic_species_366,species
item_367,Synthetic taxon 367,synthetic_species_367,species
item_368,Synthetic taxon 368,synthetic_species_368,species
item_369,Synthetic taxon 369,synthetic_species_369,species
item_370,Synthetic taxon 370,synthetic_species_370,species
item_371,Synthetic taxon 371,synthetic_species_371,species
item_372,Synthetic taxon 372,synthetic_species_372,species
item_373,Synthetic taxon 373,synthetic_species_373,species
item_374,Synthetic taxon 374,synthetic_species_374,species
item_375,Synthetic taxon 375,synthetic_species_375,species
item_376,Synthetic taxon 376,synthetic_species_376,species
item_377,Synthetic taxon 377,synthetic_species_377,species
item_378,Synthetic taxon 378,synthetic_species_378,species
item_379,Synthetic taxon 379,synthetic_species_379,species
item_380,Synthetic taxon 380,synthetic_species_380,species
item_381,Synthetic taxon 381,synthetic_species_381,species
item_382,Synthetic taxon 382,synthetic_species_382,species
item_383,Synthetic taxon 383,synthetic_species_383,species
item_384,Synthetic taxon 384,synthetic_species_384,species
item_385,Synthetic taxon 385,synthetic_species_385,species
item_386,Synthetic taxon 386,synthetic_species_386,species
item_387,Synthetic taxon 387,synthetic_species_387,species
item_388,Synthetic taxon 388,synthetic_species_388,species
item_389,Synthetic taxon 389,synthetic_species_389,species
item_390,Synthetic taxon 390,synthetic_species_390,species
item_391,Synthetic taxon 391,synthetic_species_391,species
item_392,Synthetic taxon 392,synthetic_species_392,species
item_393,Synthetic taxon 393,synthetic_species_393,species
item_394,Synthetic taxon 394,synthetic_species_394,species
item_395,Synthetic taxon 395,synthetic_species_395,species
item_396,Synthetic taxon 396,synthetic_species_396,species
item_397,Synthetic taxon 397,synthetic_species_397,species
item_398,Synthetic taxon 398,synthetic_species_398,species
item_399,Synthetic taxon 399,synthetic_species_399,species
item_400,Synthetic taxon 400,synthetic_species_400,species
item_401,Synthetic taxon 401,synthetic_species_401,species
item_402,Synthetic taxon 402,synthetic_species_402,species
item_403,Synthetic taxon 403,synthetic_species_403,species
item_404,Synthetic taxon 404,synthetic_species_404,species
item_405,Synthetic taxon 405,synthetic_species_405,species
item_406,Synthetic taxon 406,synthetic_species_406,species
item_407,Synthetic taxon 407,synthetic_species_407,species
item_408,Synthetic taxon 408,synthetic_species_408,species
item_409,Synthetic taxon 409,synthetic_species_409,species
item_410,Synthetic taxon 410,synthetic_species_410,species
item_411,Synthetic taxon 411,synthetic_species_411,species
item_412,Synthetic taxon 412,synthetic_species_412,species
item_413,Synthetic taxon 413,synthetic_species_413,species
item_414,Synthetic taxon 414,synthetic_species_414,species
item_415,Synthetic taxon 415,synthetic_species_415,species
item_416,Synthetic taxon 416,synthetic_species_416,species
item_417,Synthetic taxon 417,synthetic_species_417,species
item_418,Synthetic taxon 418,synthetic_species_418,species
item_419,Synthetic taxon 419,synthetic_species_419,species
item_420,Synthetic taxon 420,synthetic_species_420,species
item_421,Synthetic taxon 421,synthetic_species_421,species
item_422,Synthetic taxon 422,synthetic_species_422,species
item_423,Synthetic taxon 423,synthetic_species_423,species
item_424,Synthetic taxon 424,synthetic_species_424,species
item_425,Synthetic taxon 425,synthetic_species_425,species
item_426,Synthetic taxon 426,synthetic_species_426,species
item_427,Synthetic taxon 427,synthetic_species_427,species
item_428,Synthetic taxon 428,synthetic_species_428,species
item_429,Synthetic taxon 429,synthetic_species_429,species
item_430,Synthetic taxon 430,synthetic_species_430,species
item_431,Synthetic taxon 431,synthetic_species_431,species
item_432,Synthetic taxon 432,synthetic_species_432,species
item_433,Synthetic taxon 433,synthetic_species_433,species
item_434,Synthetic taxon 434,synthetic_species_434,species
item_435,Synthetic taxon 435,synthetic_species_435,species
item_436,Synthetic taxon 436,synthetic_species_436,species
item_437,Synthetic taxon 437,synthetic_species_437,species
item_438,Synthetic taxon 438,synthetic_species_438,species
item_439,Synthetic taxon 439,synthetic_species_439,species
item_440,Synthetic taxon 440,synthetic_species_440,species
item_441,Synthetic taxon 441,synthetic_species_441,species
item_442,Synthetic taxon 442,synthetic_species_442,species
item_443,Synthetic taxon 443,synthetic_species_443,species
item_444,Synthetic taxon 444,synthetic_species_444,species
item_445,Synthetic taxon 445,synthetic_species_445,species
item_446,Synthetic taxon 446,synthetic_species_446,species
item_447,Synthetic taxon 447,synthetic_species_447,species
item_448,Synthetic taxon 448,synthetic_species_448,species
item_449,Synthetic taxon 449,synthetic_species_449,species
item_450,Synthetic taxon 450,synthetic_species_450,species
item_451,Synthetic taxon 451,synthetic_species_451,species
item_452,Synthetic taxon 452,synthetic_species_452,species
item_453,Synthetic taxon 453,synthetic_species_453,species
item_454,Synthetic taxon 454,synthetic_species_454,species
item_455,Synthetic taxon 455,synthetic_species_455,species
item_456,Synthetic taxon 456,synthetic_species_456,species
item_457,Synthetic taxon 457,synthetic_species_457,species
item_458,Synthetic taxon 458,synthetic_species_458,species
item_459,Synthetic taxon 459,synthetic_species_459,species
item_460,Synthetic taxon 460,synthetic_species_460,species
item_461,Synthetic taxon 461,synthetic_species_461,species
item_462,Synthetic taxon 462,synthetic_species_462,species
item_463,Synthetic taxon 463,synthetic_species_463,species
item_464,Synthetic taxon 464,synthetic_species_464,species
item_465,Synthetic taxon 465,synthetic_species_465,species
item_466,Synthetic taxon 466,synthetic_species_466,species
item_467,Synthetic taxon 467,synthetic_species_467,species
item_468,Synthetic taxon 468,synthetic_species_468,species
item_469,Synthetic taxon 469,synthetic_species_469,species
item_470,Synthetic taxon 470,synthetic_species_470,species
item_471,Synthetic taxon 471,synthetic_species_471,species
item_472,Synthetic taxon 472,synthetic_species_472,species
item_473,Synthetic taxon 473,synthetic_species_473,species
item_474,Synthetic taxon 474,synthetic_species_474,species
item_475,Synthetic taxon 475,synthetic_species_475,species
item_476,Synthetic taxon 476,synthetic_species_476,species
item_477,Synthetic taxon 477,synthetic_species_477,species
item_478,Synthetic taxon 478,synthetic_species_478,species
item_479,Synthetic taxon 479,synthetic_species_479,species
item_480,Synthetic taxon 480,synthetic_species_480,species
item_481,Synthetic taxon 481,synthetic_species_481,species
item_482,Synthetic taxon 482,synthetic_species_482,species
item_483,Synthetic taxon 483,synthetic_species_483,species
item_484,Synthetic taxon 484,synthetic_species_484,species
item_485,Synthetic taxon 485,synthetic_species_485,species
item_486,Synthetic taxon 486,synthetic_species_486,species
item_487,Synthetic taxon 487,synthetic_species_487,species
item_488,Synthetic taxon 488,synthetic_species_488,species
item_489,Synthetic taxon 489,synthetic_species_489,species
item_490,Synthetic taxon 490,synthetic_species_490,species
item_491,Synthetic taxon 491,synthetic_species_491,species
item_492,Synthetic taxon 492,synthetic_species_492,species
item_493,Synthetic taxon 493,synthetic_species_493,species
item_494,Synthetic taxon 494,synthetic_species_494,species
item_495,Synthetic taxon 495,synthetic_species_495,species
item_496,Synthetic taxon 496,synthetic_species_496,species
item_497,Synthetic taxon 497,synthetic_species_497,species
item_498,Synthetic taxon 498,synthetic_species_498,species
item_499,Synthetic taxon 499,synthetic_species_499,species
